ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Acadia NP,ACAD,National Park,Northeast ,ME,2023,1,"15,217",600,"100,434",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,2,"15,281",600,"100,853",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,3,"30,822",600,"203,428",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,4,"102,928",600,"596,982",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,5,"340,425","7,500","2,369,803","7,500",0,33,"10,049","3,669",68,0,672,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,6,"566,535","7,500","4,257,742","7,500",0,231,"23,409","10,058",233,0,"1,701",Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,7,"767,956","7,500","5,059,220","7,500",0,338,"30,431","12,119",408,0,"2,766",Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,8,"774,296","7,500","5,042,016","7,500",0,456,"30,048","10,576",417,0,"2,721",Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,9,"643,506","7,500","4,027,568","7,500",0,194,"19,211","9,458",324,0,"1,417",Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,10,"541,067","6,000","3,555,236","6,000",0,351,"7,467","3,194",120,0,323,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
