Park Name,Region,State,Month,Recreation Visits by Month,Recreation Hours by Month,Total Recreation Hours,Recreation Hours by Month ,avg Time Spent per Visit
Acadia National Park,Northeast ,ME,1,15217.0,100434.0,25804425.0,100434.0,6.600118288755996
Acadia National Park,Northeast ,ME,2,15281.0,100853.0,25804425.0,100853.0,6.599895294810549
Acadia National Park,Northeast ,ME,3,30822.0,203428.0,25804425.0,203428.0,6.600090844202193
Acadia National Park,Northeast ,ME,4,102928.0,596982.0,25804425.0,596982.0,5.799996113788279
Acadia National Park,Northeast ,ME,5,340425.0,2369803.0,25804425.0,2369803.0,6.961307189542484
Acadia National Park,Northeast ,ME,6,566535.0,4257742.0,25804425.0,4257742.0,7.515408580228936
Acadia National Park,Northeast ,ME,7,767956.0,5059220.0,25804425.0,5059220.0,6.58790347363651
Acadia National Park,Northeast ,ME,8,774296.0,5042016.0,25804425.0,5042016.0,6.511742279438354
Acadia National Park,Northeast ,ME,9,643506.0,4027568.0,25804425.0,4027568.0,6.258788573843911
Acadia National Park,Northeast ,ME,10,541067.0,3555236.0,25804425.0,3555236.0,6.570786982018863
Acadia National Park,Northeast ,ME,11,66987.0,401921.0,25804425.0,401921.0,5.999985071730336
Acadia National Park,Northeast ,ME,12,14870.0,89222.0,25804425.0,89222.0,6.000134498991257
Arches NP,Intermountain ,UT,1,31427.0,106709.0,5462987.0,106709.0,3.395456136443186
Arches NP,Intermountain ,UT,2,41264.0,138599.0,5462987.0,138599.0,3.3588357890655294
Arches NP,Intermountain ,UT,3,132502.0,426657.0,5462987.0,426657.0,3.2200042263513002
Arches NP,Intermountain ,UT,4,151232.0,568728.0,5462987.0,568728.0,3.7606326703343207
Arches NP,Intermountain ,UT,5,188274.0,690000.0,5462987.0,690000.0,3.664871410816151
Arches NP,Intermountain ,UT,6,180782.0,715594.0,5462987.0,715594.0,3.9583254970074453
Arches NP,Intermountain ,UT,7,165671.0,603369.0,5462987.0,603369.0,3.6419711355638587
Arches NP,Intermountain ,UT,8,144080.0,543500.0,5462987.0,543500.0,3.772209883398112
Arches NP,Intermountain ,UT,9,174673.0,645617.0,5462987.0,645617.0,3.6961465137714473
Arches NP,Intermountain ,UT,10,140260.0,522401.0,5462987.0,522401.0,3.724518750891202
Arches NP,Intermountain ,UT,11,83843.0,336140.0,5462987.0,336140.0,4.009159977577138
Arches NP,Intermountain ,UT,12,48037.0,165673.0,5462987.0,165673.0,3.448862335283219
Badlands National Park,Midwest ,SD,1,10925.0,42715.0,4418935.0,42715.0,3.9098398169336384
Badlands National Park,Midwest ,SD,2,11426.0,44611.0,4418935.0,44611.0,3.904340976719762
Badlands National Park,Midwest ,SD,3,22390.0,87695.0,4418935.0,87695.0,3.9167038856632423
Badlands National Park,Midwest ,SD,4,30572.0,127967.0,4418935.0,127967.0,4.185758210126914
Badlands National Park,Midwest ,SD,5,99117.0,438577.0,4418935.0,438577.0,4.424841349112665
Badlands National Park,Midwest ,SD,6,198393.0,827877.0,4418935.0,827877.0,4.1729143669383495
Badlands National Park,Midwest ,SD,7,248304.0,1040746.0,4418935.0,1040746.0,4.191418583671628
Badlands National Park,Midwest ,SD,8,202433.0,851949.0,4418935.0,851949.0,4.2085480134167845
Badlands National Park,Midwest ,SD,9,142610.0,613562.0,4418935.0,613562.0,4.30237711240446
Badlands National Park,Midwest ,SD,10,53066.0,236143.0,4418935.0,236143.0,4.449986808879508
Badlands National Park,Midwest ,SD,11,16467.0,65085.0,4418935.0,65085.0,3.9524503552559667
Badlands National Park,Midwest ,SD,12,10697.0,42008.0,4418935.0,42008.0,3.927082359540058
Big Bend National Park,Intermountain ,TX,1,45373.0,914719.0,9585981.0,914719.0,20.159985013113527
Big Bend National Park,Intermountain ,TX,2,48362.0,913558.0,9585981.0,913558.0,18.88999627806956
Big Bend National Park,Intermountain ,TX,3,83159.0,1504307.0,9585981.0,1504307.0,18.089527291092967
Big Bend National Park,Intermountain ,TX,4,62014.0,1285651.0,9585981.0,1285651.0,20.731625116909086
Big Bend National Park,Intermountain ,TX,5,40011.0,717352.0,9585981.0,717352.0,17.928869560870762
Big Bend National Park,Intermountain ,TX,6,22634.0,400062.0,9585981.0,400062.0,17.675267296986835
Big Bend National Park,Intermountain ,TX,7,16913.0,280234.0,9585981.0,280234.0,16.569147992668363
Big Bend National Park,Intermountain ,TX,8,12760.0,199968.0,9585981.0,199968.0,15.671473354231974
Big Bend National Park,Intermountain ,TX,9,22637.0,382721.0,9585981.0,382721.0,16.906878119892212
Big Bend National Park,Intermountain ,TX,10,44332.0,881644.0,9585981.0,881644.0,19.887304881349817
Big Bend National Park,Intermountain ,TX,11,56400.0,1061831.0,9585981.0,1061831.0,18.826790780141845
Big Bend National Park,Intermountain ,TX,12,54534.0,1043934.0,9585981.0,1043934.0,19.14280999009792
Biscayne National Park,Southeast ,FL,1,48536.0,159842.0,1809966.0,159842.0,3.2932668534695897
Biscayne National Park,Southeast ,FL,2,53636.0,180419.0,1809966.0,180419.0,3.363766872995749
Biscayne National Park,Southeast ,FL,3,61580.0,203292.0,1809966.0,203292.0,3.301266645014615
Biscayne National Park,Southeast ,FL,4,61781.0,198136.0,1809966.0,198136.0,3.207070134831097
Biscayne National Park,Southeast ,FL,5,53570.0,166206.0,1809966.0,166206.0,3.102594735859623
Biscayne National Park,Southeast ,FL,6,46952.0,143423.0,1809966.0,143423.0,3.054672857386267
Biscayne National Park,Southeast ,FL,7,66638.0,203465.0,1809966.0,203465.0,3.053287913802935
Biscayne National Park,Southeast ,FL,8,41872.0,127369.0,1809966.0,127369.0,3.0418656858998854
Biscayne National Park,Southeast ,FL,9,47306.0,144054.0,1809966.0,144054.0,3.0451528347355517
Biscayne National Park,Southeast ,FL,10,32702.0,100912.0,1809966.0,100912.0,3.085805149532139
Biscayne National Park,Southeast ,FL,11,27289.0,86906.0,1809966.0,86906.0,3.1846531569496865
Biscayne National Park,Southeast ,FL,12,29380.0,95942.0,1809966.0,95942.0,3.2655547991831178
Black Canyon of the Gunnison National Park,Intermountain ,CO,1,15001.0,32200.0,1918066.0,32200.0,2.1465235650956602
Black Canyon of the Gunnison National Park,Intermountain ,CO,2,7534.0,18018.0,1918066.0,18018.0,2.391558269179719
Black Canyon of the Gunnison National Park,Intermountain ,CO,3,8363.0,18636.0,1918066.0,18636.0,2.228386942484754
Black Canyon of the Gunnison National Park,Intermountain ,CO,4,11376.0,27920.0,1918066.0,27920.0,2.4542897327707456
Black Canyon of the Gunnison National Park,Intermountain ,CO,5,31876.0,210356.0,1918066.0,210356.0,6.599196887940771
Black Canyon of the Gunnison National Park,Intermountain ,CO,6,50739.0,354726.0,1918066.0,354726.0,6.99119020871519
Black Canyon of the Gunnison National Park,Intermountain ,CO,7,53534.0,350494.0,1918066.0,350494.0,6.5471289274106175
Black Canyon of the Gunnison National Park,Intermountain ,CO,8,53177.0,351275.0,1918066.0,351275.0,6.605769411587716
Black Canyon of the Gunnison National Park,Intermountain ,CO,9,56683.0,338732.0,1918066.0,338732.0,5.975901063811019
Black Canyon of the Gunnison National Park,Intermountain ,CO,10,45493.0,163322.0,1918066.0,163322.0,3.5900468203899503
Black Canyon of the Gunnison National Park,Intermountain ,CO,11,17763.0,41220.0,1918066.0,41220.0,2.3205539604796486
Black Canyon of the Gunnison National Park,Intermountain ,CO,12,5530.0,11167.0,1918066.0,11167.0,2.0193490054249548
Bryce Canyon National Park,Intermountain ,UT,1,29457.0,94793.0,13210794.0,94793.0,3.2180126964728246
Bryce Canyon National Park,Intermountain ,UT,2,32094.0,103942.0,13210794.0,103942.0,3.238673895432168
Bryce Canyon National Park,Intermountain ,UT,3,79911.0,263580.0,13210794.0,263580.0,3.298419491684499
Bryce Canyon National Park,Intermountain ,UT,4,207926.0,847852.0,13210794.0,847852.0,4.077662245221858
Bryce Canyon National Park,Intermountain ,UT,5,315097.0,1392085.0,13210794.0,1392085.0,4.417957010063568
Bryce Canyon National Park,Intermountain ,UT,6,356652.0,2323098.0,13210794.0,2323098.0,6.513626728575755
Bryce Canyon National Park,Intermountain ,UT,7,343627.0,2196098.0,13210794.0,2196098.0,6.390935520200682
